D;SECTION D TEXTILESPAPER
D01H0001240000;for twisting arrangements, e.g. spindles (braking arrangements for spindles D01H0007220000. interrelated flyer and bobbin drive mechanisms D01H0007500000)
D01H0001241000;driven by belt
D01H0001242000;driven by toothed wheels
D01H0001243000;driven by friction discs
D01H0001244000;each spindle driven by an electric motor
D01H0001260000;with two or more speeds. with variable-speed arrangements
D01H0001280000;for two or more machine elements possessing different characteristics but in operative association
D01H0001300000;with two or more speeds. with variable-speed arrangements
D01H0001320000;for complete machines
D01H0001340000;with two or more speeds. with variable-speed arrangements
D01H0001360000;Package-shaping arrangements, e.g. building motions
D01H0001380000;Arrangements for winding reserve lengths of yarn on take-up packages, e.g. transfer tails
D01H0001400000;Arrangements for connecting continuously- delivered material to bobbins or the like
D01H0001420000;Guards or protectors for yarns or threads, e.g. separator plates, anti-ballooning devices (anti-ballooning devices on spindles D01H0007180000)
D01H0003000000;Spinning or twisting machines in which the product is wound-up intermittently, e.g. mules
D01H0003020000;Details (drafting arrangements D01H0005000000. twisting arrangements D01H0007000000)
D01H0003040000;Carriages. Mechanisms effecting carriage movements
D01H0003060000;Carriages. Carriage rails. Squaring motions
D01H0003080000;Drawing-out or taking-in motions
D01H0003100000;Moving-creel arrangements, e.g. for twiners
D01H0003120000;Package-shaping motions. Faller arrangements
D01H0003140000;Roller-driving arrangements (drafting arrangements of general application in spinning machines D01H0005180000)
D01H0003160000;Spindle-driving arrangements (spindles, spindle bearings, spindle supports D01H0007040000)
D01H0003180000;Tin rollers. Driving arrangements intimately associated with tin rollers
D01H0003200000;Spindle-driving arrangements during drawing-out or backing-off
D01H0003220000;Spindle-driving arrangements during taking-in
D01H0003240000;Quadrant motions. Nosing motions
D01H0003260000;Driving or stopping arrangements not otherwise provided for. Locking motions (safety devices D01H0013140000)
D01H0004000000;Open-end spinning machines or arrangements for imparting twist to independently moving fibres separated from slivers. Piecing arrangements therefor. Covering endless core threads with fibres by open-end spinning techniques
D01H0004020000;imparting twist by a fluid, e.g. air vortex
D01H0004040000;imparting twist by contact of fibres with a running surface
D01H0004060000;co-operating with suction means (D01H0004080000, D01H0004160000 take precedence)..
D01H0004080000;Rotor spinning, i.e. the running surface being provided by a rotor
D01H0004100000;Rotors
D01H0004120000;Rotor bearings. Arrangements for driving or stopping (control therefor D01H0004420000)
D01H0004140000;Rotor driven by an electric motor
D01H0004160000;Friction spinning, i. e. the running surface being provided by a pair of closely spaced friction drums, e.g. at least one suction drum
D01H0004180000;Friction drums, e.g. arrangement of suction holes
D01H0004200000;Drum bearings. Arrangements for driving or stopping (control therefor D01H0004420000)
D01H0004220000;Cleaning of running surfaces
D01H0004240000;in rotor spinning
D01H0004260000;in friction spinning
D01H0004280000;using electrostatic fields
D01H0004300000;Arrangements for separating slivers into fibres. Orienting or straightening fibres
D01H0004320000;using opening rollers
D01H0004340000;using air-jet streams
D01H0004360000;with means for taking away impurities
D01H0004380000;Channels for feeding fibres to the yarn forming region
D01H0004400000;Removing running yarn from the yarn forming region, e.g. using tubes
D01H0004420000;Control of driving or stopping
D01H0004440000;in rotor spinning
D01H0004460000;in friction spinning
D01H0004480000;Piecing arrangements. Control therefor
D01H0004500000;for rotor spinning
D01H0004520000;for friction spinning
D01H0005000000;Drafting machines or arrangements (arrangements in which draft is dependent on linear movement of take-up spindles, e.g. in mules, D01H0003000000. devices for combing or orienting fibres for open-end spinning machines D01H0004300000)
D01H0005020000;Gill boxes or other drafting machines employing fallers or like pinned bars (lubricating fibres in gill boxes D01G0029000000)
D01H0005040000;with pinned bars actuated by screw members
D01H0005060000;Intersecting gill boxes
D01H0005080000;with bars connected by links, chains, or the like
D01H0005100000;with pinned bars unconnected with each other but actuated through pressure of one against another
D01H0005120000;Details
D01H0005140000;Pinned bars
D01H0005160000;Framework. Casings. Coverings
D01H0005180000;Drafting machines or arrangements without fallers or like pinned bars
D01H0005200000;in which fibres are controlled by contact with stationary or reciprocating surfaces
D01H0005220000;in which fibres are controlled by rollers only
D01H0005240000;with porcupines or like pinned rotary members
D01H0005260000;in which fibres are controlled by one or more endless aprons
D01H0005280000;in which fibres are controlled by inserting twist during drafting (mules D01H0003000000. constructions of false-twist devices D02G0001040000)
D01H0005300000;incorporating arrangements for severing continuous filaments, e.g. in direct spinning (converting tows to slivers or yarns D01G0001060000)
D01H0005320000;Regulating or varying draft
D01H0005340000;by manual adjustments
D01H0005360000;according to a pre-arranged pattern, e.g. to produce slubs
D01H0005380000;in response to irregularities in material
D01H0005400000;employing mechanical time-delay devices
D01H0005420000;employing electrical time-delay devices
D01H0005440000;Adjusting drafting elements, e.g. altering ratch
D01H0005460000;Loading arrangements
D01H0005480000;using weights
D01H0005500000;using springs
D01H0005520000;using fluid pressure
D01H0005540000;using magnetic arrangements
D01H0005560000;Supports for drafting elements (saddles or top roller arms forming essential components of weighting arrangements D01H0005480000)
D01H0005580000;Arrangements for traversing drafting elements (traversing arrangements for roving guides D01H0013060000)
D01H0005600000;Arrangements maintaining drafting elements free of fibre accumulations
D01H0005620000;Non-rotary cleaning pads or plates. Scrapers
D01H0005640000;Rollers or aprons with cleaning surfaces
D01H0005660000;Suction devices
D01H0005680000;Suction end-catchers
D01H0005700000;Constructional features of drafting elements
D01H0005720000;Fibre-condensing guides (guides for slivers, rovings, or yarns applicable solely for spinning, twisting, curling, or crimping purposes D01H0013040000)
D01H0005740000;Rollers
D01H0005760000;Loose-boss assemblies
D01H0005780000;with flutes or other integral surface characteristics
D01H0005800000;with covers. Cots or covers
D01H0005820000;Arrangements for coupling roller sections
D01H0005840000;Porcupines
D01H0005860000;Aprons. Apron supports. Apron-tensioning arrangements
D01H0005880000;Cradles. Tensors
D01H0007000000;Spinning or twisting arrangements (for open-end spinning D01H0004000000)
